,prob_neg_drop_one_det,prob_neg_drop_zero_det,prob_neg_drop,lambda_rho,var,r,q_single,q_chip,q_chip_uncor,rho,lambda,r_like,Phi_like,q_chip_like,lambda_like,rho_like,var_lam_chip_like,var_r_chip_like,var_rho_chip_like,var_q_chip_like,cov_lam_r_chip_like,cov_lam_rho_chip_like,cov_lam_q_chip_like,cov_r_rho_chip_like,cov_r_q_chip_like,cov_rho_q_chip_like
0,0.04065040650406504,0.8252427184466019,0.18,2.368,5.026629258517034,2.1091410101789756,0.05395529011464015,0.06269538714394121,0.0,0.8386976681853913,2.823425043166522,2.0448499715378556,0.1036128773483877,0.05106468666314147,2.825228082857788,0.8381624175293874,0.026378086584873114,0.06881522489747906,0.0012332285807867133,0.0004986555302279674,0.007130143457004213,-0.0038332184706521607,0.000606486661448449,-0.0021153047123929555,0.0,-0.0001799268276580227
1,0.04424778761061947,0.7565217391304347,0.188,2.394,5.505775551102205,1.8417896489899384,0.0680556338451655,0.15236156903997364,0.0,0.7454680155201845,3.211405385822592,1.7132657890181233,0.20142734218744507,0.10768711569621948,3.2213156315393405,0.7431746136767111,0.05105950863101995,0.043847884346225025,0.0018484890154982516,0.0011452289236741908,0.008832162804402584,-0.007498687715201158,0.0024824639468662584,-0.0020376268366335487,0.0,-0.0005727176084875258
2,0.07207207207207207,0.7636363636363637,0.19,2.338,5.109975951903807,1.9719666024684512,0.10821053557318573,0.1556145745814883,0.0,0.7576204455279608,3.085977964032801,1.9339836900170981,0.179223059722372,0.1500268084061529,3.1036379880089338,0.7533095061450414,0.0471080774430136,0.06014697303063594,0.0019424602711731614,0.0013322833038047867,0.010779724539589563,-0.0075095626080269465,0.0029880593790238014,-0.0026164356154524627,0.0,-0.0007252564712254062
3,0.13392857142857142,0.7850467289719626,0.2,2.476,5.648721442885772,1.9322767883536254,0.19336231902927176,0.2230080094491673,0.0,0.7658501074072106,3.233008621468384,1.8116163713885869,0.17154156716760738,0.17559447173714196,3.2115044317614885,0.7709782292412813,0.049745145071954516,0.04905020686433462,0.0019505050510104133,0.0014103735601725155,0.008414149355403293,-0.007666771632132226,0.0032337668171241373,-0.0020199648197409942,0.0,-0.0007763227071363865
4,0.0625,0.8103448275862069,0.206,2.208,4.966669338677354,1.7672520340322662,0.08687390283914387,0.07108556336457857,0.0,0.803267112070818,2.748774307848592,1.895311843637196,0.13366718280796228,0.1122069874951787,2.75647813432153,0.8010221349147287,0.03030986392061279,0.05423546068632687,0.0015325707284545899,0.0009766390351891047,0.007249501238233305,-0.004875928121660852,0.0015217323573699139,-0.002106677679250276,0.0,-0.0004422096756335407
5,0.09734513274336283,0.7821782178217822,0.18,2.366,4.857759519038076,2.2465875848890295,0.13883540534220165,0.13776289188756716,0.0,0.792848118933481,2.984178108642905,2.1840519092810022,0.1332701692911032,0.11691126709806093,2.9723861882331866,0.7959934712946476,0.03515398488433023,0.08722749818575813,0.0016237848177003092,0.0010349655154102005,0.011624823450055383,-0.005655498439668574,0.0018209348311465912,-0.0031130825489056797,0.0,-0.0004876392721052428
6,0.0196078431372549,0.8252427184466019,0.174,2.422,4.99390380761523,2.280833358786954,0.025847689510700742,0.08514691797032994,0.0,0.8428290791163151,2.873655003146552,2.1983707769338237,0.09359099499870151,0.024890851819039467,2.85442509827616,0.8485071132056295,0.0247898450249636,0.08480194874244079,0.0011211339915244162,0.00026835534169691454,0.007936698760633918,-0.003468571298982649,0.0002951809727024301,-0.0023592650435407037,0.0,-8.77455692118977e-05
7,0.0625,0.77,0.168,2.468,5.960897795591183,1.7438311558065718,0.09429337648584096,0.017325392494857022,0.0,0.7807565314828155,3.161036636238913,1.896602488454237,0.16021891992283147,0.082572236922589,3.16729189659264,0.7792145721255007,0.042701483627728846,0.05503647656744569,0.0016694806331299988,0.000900861795971119,0.00881788483199437,-0.006344406550201452,0.0016807989694463978,-0.002169368842766357,0.0,-0.0004135087931791607
8,0.07142857142857142,0.8145161290322581,0.216,2.586,6.956517034068136,1.5301155327554647,0.10027747185506151,0.2092088918722294,0.0,0.7759109441442045,3.332856714441944,1.3588353712088848,0.1786038541972793,0.09107896583992041,3.290562801471662,0.7858838004378597,0.0506566376618576,0.021613609710854926,0.0017072898224114628,0.0009648135473751385,0.0038602739974744333,-0.00672033635598716,0.001807037715926856,-0.0009219476979773372,0.0,-0.00043157409641050344
9,0.04032258064516129,0.7954545454545454,0.152,2.338,4.496749498997996,2.5321344614264922,0.05548585740979191,0.0010190748047091656,0.0,0.8352655463905794,2.7991098281297067,2.837033154466727,0.09104659360461252,0.06913406165370109,2.8091691405051282,0.832274556305141,0.024726459308011806,0.15787615112093642,0.001288311563204168,0.0006459689242220793,0.01437408577096829,-0.0040129760341010645,0.0008354163763131388,-0.004258620702053392,0.0,-0.00024750940906357894
