,chip,y,x,n_cells,label
365,0,4954.1078214674,11184.220444313409,1,366.0
366,0,4953.366957163485,11709.73064009831,0,367.0
367,0,4951.966955966812,12247.045003772975,1,368.0
368,0,4950.969705486663,12773.061962286974,0,369.0
369,0,4949.942657698821,13302.79719143741,5,370.0
370,0,4948.796754511273,13835.898942026506,1,371.0
371,0,4947.633105717522,14371.757078287408,6,372.0
372,0,4946.386092736477,14905.468964643358,3,373.0
373,0,4945.359044948634,15435.204193793794,5,374.0
374,0,4943.8102351086345,15974.905533908644,1,375.0
375,0,4942.654711465222,16512.482952179926,2,376.0
376,0,4942.019797655036,17044.595829762467,5,377.0
377,0,4940.903186579184,17570.978910490543,1,378.0
378,0,4940.290142449511,18107.58204546394,4,379.0
379,0,4938.857949809914,18636.916319293952,1,380.0
380,0,4937.218867236102,19170.28296935612,4,381.0
381,0,4936.200176157892,19710.71876088485,2,382.0
382,0,4935.270688644301,20243.583802044195,3,383.0
383,0,4934.036628515184,20776.313485836105,6,384.0
384,0,5416.449615264859,794.8838500532511,5,385.0
385,0,5416.747410377056,1327.856619224598,3,386.0
386,0,5414.146922294787,1861.5249506926884,3,387.0
387,0,5414.050582025301,2389.957592449975,4,388.0
388,0,5413.180641603866,2923.3152885742074,2,389.0
389,0,5412.312017937435,3460.130798853722,5,390.0
390,0,5411.182647681449,3985.5410316482494,2,391.0
391,0,5410.547657629964,4525.57877912071,2,392.0
392,0,5409.157934020492,5051.488436642425,6,393.0
393,0,5408.013285579904,5588.304331084007,2,394.0
394,0,5406.750684825882,6113.83735733332,2,395.0
395,0,5405.454237910007,6650.535169404178,1,396.0
396,0,5404.44520789682,7184.019054859072,2,397.0
397,0,5403.30954340787,7717.12151971698,0,398.0
398,0,5402.516542601497,8253.30998405801,4,399.0
399,0,5401.034272235657,8775.632446428284,1,400.0
400,0,5400.006708131306,9308.859037037864,6,401.0
401,0,5399.12922373254,9841.704694293345,3,402.0
402,0,5397.852321230082,10375.195621518144,5,403.0
