,prob_neg_drop_one_det,prob_neg_drop_zero_det,prob_neg_drop,lambda_rho,var,r,q_single,q_chip,q_chip_uncor,rho,lambda,r_like,Phi_like,q_chip_like,lambda_like,rho_like,var_lam_chip_like,var_r_chip_like,var_rho_chip_like,var_q_chip_like,cov_lam_r_chip_like,cov_lam_rho_chip_like,cov_lam_q_chip_like,cov_r_rho_chip_like,cov_r_q_chip_like,cov_rho_q_chip_like,concentration,dataset,date,date_index
0,0.0347826086956521,0.738095238095238,0.20464135021097,1.71940928270042,2.40524616194325,4.31059975179558,0.0505645166813958,0.140587541178192,0.0,0.770501298031555,2.23154625059438,3.76938516024832,0.0879429391477029,0.047366688303787,2.20210999839091,0.780800815561801,0.0199122179602273,0.647767061810356,0.0017420368265325,0.0004404303985391,0.0569665392986744,-0.0044506598760325,0.0005098260726345,-0.0201985915220582,0.0,-0.0001807687234509,0.0,0,20220524,1
1,0.0,0.542372881355932,0.0700218818380744,2.7089715536105,5.22871319436447,2.91241243132968,0.0,0.0,0.0,0.623542453165878,4.344486153038,3.36674156569509,0.199277125100188,0.0,3.91972219695921,0.691113149730874,,,,,,,,,,,2.0,0,20220524,1
2,0.0510204081632653,0.611111111111111,0.0831509846827133,2.4398249452954,3.2162175131483,7.66718540357489,0.0890264854790429,0.0706771733874347,0.0,0.771776274628133,3.16131115389754,7.94794718026536,0.0684756891054223,0.0754404245163086,3.15113479986328,0.774268668354418,0.0781652371699428,8.83423094805099,0.0042591662784103,0.0009677247775809,0.60493005188424,-0.0168401022431892,0.0020033856597242,-0.148638003598038,0.0,-0.0004922540117999,4.0,0,20220524,1
3,1.0,1.0,0.995670995670996,2.50865800865801,3.60838474612878,5.72266253967589,1.0,0.998269972834172,0.998269972834172,0.999999999999973,2.50865800865808,5.54781761897034,9.07994171962125e-16,0.998268393558265,2.50865800865801,1.0,0.007885376004953,1.05942980809999,1.3982212206136999e-31,1.30082648262117e-06,9.61956091357747e-16,-2.85406597133517e-18,0.0,-3.83454455743985e-16,0.0,0.0,8.0,0,20220524,1
4,1.0,1.0,0.997863247863248,9.42948717948718,49.7401993081865,2.20574690380649,1.0,0.999773044311223,0.999773044311223,0.999999999999866,9.42948717948844,2.33507359718148,2.39879730662418e-17,0.999772778293691,9.42948717948718,1.0,0.101511995634445,0.0380151013700712,9.02962084770865e-37,5.01337248973854e-08,9.1190522777572e-19,-2.58239602093817e-19,0.0,-9.67078283705046e-20,0.0,0.0,12.0,0,20220524,1
5,1.0,1.0,1.0,3.41630901287554,5.5940560247358,5.35928517311336,1.0,1.0,1.0,,,5.37180783858116,0.0,1.0,3.41630901287554,1.0,,,,,,,,,,,50.0,0,20220524,1
6,0.484615384615385,0.813664596273292,0.448347107438017,1.49380165289256,3.27739421316496,1.25109480039755,0.702316300462615,0.57653877244869,0.247286892393956,0.562579850506524,2.65527045013717,1.79397466453634,0.265713670809349,0.569583337639356,2.36740876699664,0.63098594282374,0.0668706578431023,0.0855571705491176,0.004147577424975,0.0016882210371165,0.0227337098506675,-0.014798952878079,0.0074144059338585,-0.006059220335744,0.0,-0.0019761631298631,0.0,1,20220602,1
7,0.147368421052632,0.616666666666667,0.118126272912424,2.83299389002037,5.20878673261565,3.37817937532187,0.275741845136446,0.285663111495924,0.0,0.679259702881504,4.17070801933701,3.57150820383123,0.225523131430875,0.326235544969353,4.27735725748138,0.662323420627369,0.196079866762159,0.342660985820149,0.0043488096544906,0.0029575634130007,0.0772779785413507,-0.0273973571451902,0.0166570417296058,-0.0119660369722808,0.0,-0.0025792441902272,2.0,1,20220602,1
8,0.230769230769231,0.771929824561403,0.17184265010352,2.75983436853002,4.36543731690764,4.74381648926079,0.315717575852271,0.379755600779341,0.227268668259085,0.802665006249051,3.43833896712036,4.83397792066778,0.112182727488865,0.422499626776387,3.61172894317069,0.764131088449621,0.093513254357687,1.02066672772153,0.003704322844607,0.0017160338819068,0.114501177372936,-0.0170204476162612,0.0079450929874342,-0.0242249378819483,0.0,-0.0016809380348991,4.0,1,20220602,1
9,0.873873873873874,0.957894736842105,0.80083857442348,2.0,2.89495798319328,4.46948356807512,0.921108770122118,0.917430395316053,0.88614670835668,0.72522808512749,2.75775310004495,4.51064909949816,0.123571103891164,0.919231862911277,2.804528096273,0.713132452713825,0.259819676751977,0.779505731061445,0.0163357663200698,0.0002492494027297,0.0963243836767516,-0.0636420877591912,0.0066477522115784,-0.0244932629053835,0.0,-0.0016903834359786,6.0,1,20220602,1
