,prob_neg_drop_one_det,prob_neg_drop_zero_det,prob_neg_drop,lambda_rho,var,r,q_single,q_chip,q_chip_uncor,rho,lambda,r_like,Phi_like,q_chip_like,lambda_like,rho_like,var_lam_chip_like,var_r_chip_like,var_rho_chip_like,var_q_chip_like,cov_lam_r_chip_like,cov_lam_rho_chip_like,cov_lam_q_chip_like,cov_r_rho_chip_like,cov_r_q_chip_like,cov_rho_q_chip_like,concentration,dataset,date,date_index
0,0.0405405405405405,0.3944954128440367,0.1936842105263158,0.8863157894736842,1.0840950477459472,3.971881002753906,0.1298829203203284,0.1529404167209647,0.0,0.3693380642105847,2.3997412543114844,3.5907503188196133,0.3361063768967262,0.1221899628207045,2.3910862582592705,0.3706749542858102,0.2476513366845992,1.824165266397825,0.0059554969658865,0.00227157620969,0.6131135785498244,-0.0370918009581745,0.0058078116959625,-0.0950471138027521,0.0,-0.0009003482527931,0,0,20230315,1
1,0.1836734693877551,0.7476190476190476,0.4,0.956989247311828,1.4809047089358545,1.7480461764414927,0.2901545627768343,0.2530517832546725,0.0,0.5934434436427743,1.6126039600968134,1.937485025855548,0.2392319286077264,0.3070103806325766,1.6494399099871064,0.5801904279855268,0.0337766477056833,0.2353846067028804,0.0036841610202431,0.0020849427379436,0.0563115134261012,-0.0095709901225686,0.0037341293878534,-0.0198075727872122,0.0,-0.0013134798755469,0,2,20230404,1
2,0.1788617886178861,0.6875,0.310492505353319,1.3811563169164882,3.0260819218645176,1.1596833109170237,0.3593894536272256,0.2393055043988639,0.0,0.5201893120269292,2.655103219123788,1.45070049552288,0.4418472253540191,0.3266415772936805,2.6324043920927,0.5246748262027102,0.0849001477949698,0.0517970883131023,0.0029453476662382,0.002907722572912,0.0228863997525613,-0.0137596042491987,0.0099254376334359,-0.0045615779432106,0.0,-0.0019782778363961,10,2,20230404,1
3,0.0432098765432098,0.4516129032258064,0.1774193548387097,1.0138248847926268,0.9790232117580698,-29.534238081145407,0.093138108645834,0.0,1.0,0.6036148354195572,1.6795890778395848,1277.3633031118934,0.0006804089632121,0.0877926841528161,1.8836441410469635,0.5382252744561001,0.1237185452220377,237269.20443794,0.0100501647986617,0.0010458745430369,161.44009339378766,-0.0341088848839427,0.0016809229120525,-46.12927499500736,0.0,-0.0004803004856194,20,0,20230315,1
4,0.4554455445544554,0.7835051546391752,0.3538812785388128,2.0319634703196345,3.2941705066716827,3.271155544059103,0.6263055423801446,0.6003774531075238,0.3982800229118569,0.6641337534218802,3.0595696421845053,3.132247852374049,0.2041291635890466,0.6015063246821016,3.0861296082181804,0.6584180602488748,0.1255044721823234,0.3810208210654449,0.0052422878753777,0.0016327598697407,0.077777461514101,-0.0237917243831968,0.0104084278324571,-0.0165936275666538,0.0,-0.0022206121367804,20,2,20230404,1
5,0.3032258064516129,0.7380952380952381,0.4484978540772532,0.8862660944206009,1.133273339794176,3.179937450545629,0.4519898258573526,0.430709558814382,0.0,0.5532206970475131,1.6020118176173086,3.346906900867123,0.1690233349641922,0.4371383646634178,1.6017711115644908,0.5533038322528879,0.0510421876661659,1.0427181028540309,0.0058152238630322,0.0020440274408158,0.1762436911719238,-0.0158760406118558,0.0044495606839253,-0.0608803024550575,0.0,-0.0015370229619468,40,0,20230315,1
6,0.7532467532467533,0.9558823529411764,0.6238532110091743,3.311926605504587,9.741558578508911,1.7059853326447552,0.8091316346986557,0.8764886370380239,0.835882081161331,0.7525769509872353,4.400781343568894,1.7226959575347092,0.2388562946987085,0.8784137951085546,4.5144778961186685,0.7336233960414388,0.6923627165926954,0.0370316828279791,0.0173930280590288,0.0005167779853983,0.0088452505467488,-0.1064200376944925,0.0167577634116959,-0.0014373938458137,0.0,-0.0027232135336662,40,2,20230404,1
7,0.9784172661870504,1.0,0.9537444933920703,1.524229074889868,2.0071379253338,4.810999571873379,0.9784172661870504,0.9687754676367718,0.9687754676367718,0.9999999999999984,1.5242290748898704,4.750323170019834,0.0,0.9686286464326836,1.524229074889868,1.0,0.0044345950954838,3.014718288105629,0.0,3.326246900072408e-05,0.0,0.0,0.0,0.0,0.0,0.0,50,2,20230404,1
8,0.3953488372093023,0.6862745098039216,0.4212962962962963,1.2824074074074074,2.00822806565266,2.2658059396508587,0.6802104391283027,0.6794503999325183,0.1793238410256029,0.3905920704070093,3.283239739278625,2.4961925965837346,0.477813623671287,0.6644863686494612,3.0878739677187546,0.4153043229140659,0.3675807869066301,0.4459701294497799,0.0065419485211303,0.0028359707854106,0.2130906036015523,-0.0472872848752643,0.0245318144356055,-0.0286596699778754,0.0,-0.0032994120519625,60,0,20230315,1
9,0.9568345323741008,0.9928571428571428,0.9552238805970148,1.5010660980810235,2.336003134510597,2.6986459247795564,0.9662815890906344,0.9766633125661914,0.9692215059100776,0.7582140752445007,1.979739162184474,2.7959361939443634,0.1650642751784668,0.979131625596228,2.210347666854405,0.6791085948108897,0.6743818039626176,0.2809558285555381,0.0630731127150352,7.875408006580866e-05,0.0463757701976855,-0.2046047718549994,0.0061933440478309,-0.0142485205402293,0.0,-0.0019028468853899,60,2,20230404,1
