prob_neg_drop_one_det,prob_neg_drop_zero_det,prob_neg_drop,lambda_rho,var,r,q_single,q_chip,q_chip_uncor,rho,lambda,r_like,Phi_like,q_chip_like,lambda_like,rho_like,var_lam_chip_like,var_r_chip_like,var_rho_chip_like,var_q_chip_like,cov_lam_r_chip_like,cov_lam_rho_chip_like,cov_lam_q_chip_like,cov_r_rho_chip_like,cov_r_q_chip_like,cov_rho_q_chip_like,concentration,dataset,date,date_index
0.116071428571429,0.758241758241758,0.186813186813187,2.16263736263736,3.81490051798422,2.83066311025574,0.168802338947936,0.178497591530097,0,0.77599343962549,2.78692737876894,2.81656582977306,0.127349130399047,0.183822947034027,2.79673455927099,0.773272299106243,0.0383229871245049,0.210526561871438,0.0021309822866993,0.0014369639225442,0.0268103745802289,-0.0072089329790893,0.0029372397700617,-0.007412830768236,0,-0.0008121207436339,0,0,20221101,1
0.134751773049645,0.777777777777778,0.256465517241379,1.60775862068966,2.82637595888881,2.12116445530128,0.195044601941722,0.105183605381931,0,0.754132614058142,2.13193089745579,2.55539441251074,0.125927363138774,0.183406289697133,2.13201350450377,0.754103394417225,0.0233192439934781,0.256590870678803,0.0020503917385252,0.0012755030928673,0.0323118117500638,-0.0052669516243565,0.0018668872935321,-0.0114288426733792,0,-0.0006603269829544,0,1,20221101,2
0.166666666666667,0.770833333333333,0.197894736842105,2.47789473684211,5.5116411281368,2.02388780568091,0.245890030520971,0.247525887370766,0,0.751113743209009,3.29896072232111,2.03994577570722,0.177930856113347,0.240142183336995,3.28175796702357,0.755051031106192,0.0605450962690125,0.0700743680443991,0.0023694957776023,0.0017455618300041,0.0124683922977417,-0.0097831074798972,0.0048246918933904,-0.002868667511512,0,-0.001110041820719,0,2,20230110,1
0.147286821705426,0.680555555555556,0.293827160493827,1.1679012345679,1.47173939616184,4.48920993515005,0.235793052324162,0.227875937992914,0,0.640400882639327,1.82370334930607,4.51928052279022,0.113408087221312,0.221284946255147,1.81287363934982,0.644226497212879,0.0466642370943768,2.24656521784512,0.0054130096999684,0.0017071736200681,0.254778664173745,-0.0143539265698638,0.0027254889725266,-0.0905386690073413,0,-0.0009685353550581,0.15,0,20221101,1
0.186915887850467,0.75,0.212669683257918,2.26244343891403,4.67926657842624,2.11792506890604,0.285480243113547,0.27350715618843,0,0.720599531387182,3.1396682073311,2.49642973124669,0.225166224537725,0.388698849052373,3.33398094369299,0.678601190925812,0.103742617942475,0.160840487790997,0.0037161094022251,0.0023301138658725,0.0362158453887049,-0.0175301716587019,0.0101235416111149,-0.0073714026043405,0,-0.0020605538872936,0.15,1,20221101,2
0.1875,0.814814814814815,0.235042735042735,2.24145299145299,4.43193964018375,2.2936051748157,0.251605544950277,0.28840823676173,0.0994412857303372,0.7901669840765,2.83668267166676,2.14790183700558,0.130267120614853,0.239566255320901,2.81324160631319,0.796750974542304,0.0369673158723739,0.0933811933833927,0.0019744862883507,0.0014586290202433,0.0121644991816333,-0.0065374049617607,0.0029495177340185,-0.003445163243724,0,-0.0008353463576449,0.25,2,20230110,1
0.391304347826087,0.916666666666667,0.419354838709677,1.79493087557604,2.93937378273965,2.81514860018751,0.440277534717188,0.51340926822814,0.432785269465257,0.857859829051205,2.09233585113926,2.94327213699645,0.0776775732180239,0.548274177705713,2.162982987007,0.829840496369207,0.0264867128011178,0.349439040046738,0.0027763647057729,0.001053693776868,0.0271435766184665,-0.0068445345066756,0.002631174513726,-0.010413784680513,0,-0.0010094647889606,0.5,0,20221101,1
0.443298969072165,0.650306748466258,0.58,0.344444444444444,0.386661717396684,2.81027093916895,0.79447092039512,0.770337463489847,0,0.131601252797635,2.61733408400071,2.7244002850778,0.224478248202585,0.484005166278622,1.03333333333333,0.333333333333333,0.134224707282877,2.28584606741796,0.0141155093765203,0.0040849189242424,0.513122720874752,-0.0422765975857315,0.006999797963484,-0.165523458346694,0,-0.0022579993430593,0.5,1,20221101,2
0.398148148148148,0.870503597122302,0.406047516198704,1.89416846652268,4.54072349536712,1.3556771502822,0.506642585721431,0.509070073974421,0.324264346487843,0.726511800101053,2.60720949922522,1.45554230548116,0.260834932680267,0.571200923809491,2.76789005023666,0.684336600133636,0.0861377655854604,0.0366237497993834,0.0043736605686365,0.0016678775299089,0.0095527533134211,-0.0170080712554072,0.0083476675208971,-0.0023618346848217,0,-0.0020638877652702,0.5,2,20230110,1
0.764705882352941,0.963235294117647,0.663157894736842,2.18736842105263,5.09773040195425,1.64398127821064,0.812189363965972,0.827048195602147,0.786680912326282,0.81076572323613,2.69790441105707,1.43914598603149,0.16211235655382,0.831531443177888,2.77527121766142,0.788163840396045,0.122693299682108,0.0282645536951337,0.008642312816398,0.0004968069894231,0.0045820334064601,-0.0299852171522438,0.0059053817599722,-0.0013012757180185,0,-0.0016771003631373,0.6,2,20230110,1
0.784090909090909,0.957746478873239,0.640591966173362,3.23890063424947,9.92373777188519,1.56929437509855,0.841518252665453,0.88240627023022,0.840999489544961,0.739580831742247,4.37937341699287,1.79044573651441,0.24175627593133,0.885152135500269,4.4547766832141,0.727062401680845,0.657809332520336,0.039406983911913,0.0167414239938541,0.0004478893571908,0.0095268856762299,-0.101999174432121,0.0152751608097962,-0.0015548793739534,0,-0.0024930531638723,0.65,2,20230110,1
1,1,0.567928730512249,14.3028953229399,60.6357282055361,4.41528829323574,1,0.957798360857426,0.957798360857426,1,14.3028953229399,4.18366201417152,7.91785925085575E-15,0.955180865817284,14.3028953229399,1,0.14075929061077,0.13244477613456,8.37249301775654E-32,1.01404071182142E-05,1.04867909594455E-15,-7.79221427649587E-17,0,-7.33193575333387E-17,0,0,0.7,2,20230110,1
0.985185185185185,1,0.99163179916318,1.32217573221757,2.56684473215617,1.40450888304546,0.985185185185185,0.993625204042166,0.993625204042166,0.999999999999993,1.32217573221758,1.43752724333874,0,0.993640513104607,1.32217573221757,1,0.0053101592167921,0.0500024696918957,0,6.09209647970512E-06,0,0,0,0,0,0,0.75,0,20221101,1
0.905109489051095,0.965811965811966,0.928571428571429,0.772321428571429,1.1695230105465,1.50170698229507,0.959110620530623,0.970639560414281,0.901638091663942,0.298494001208346,2.58739346668597,1.65885644973256,0.635347528836687,0.967254614047323,2.31696428571429,0.333333333333333,1.99660359893348,0.212046940491887,0.0412823238676134,0.0004112046319898,0.134723499638901,-0.285460914859557,0.0267946585822673,-0.0193821862036697,0,-0.0038548513310391,0.75,1,20221101,2
1,1,0.991266375545852,1.64192139737991,2.50169608133546,3.13559578513175,1,0.994650007258684,0.994650007258684,1.00000000000001,1.6419213973799,2.66407872530049,0,0.994652302050235,1.64192139737991,1,0.0057944719927188,0.293053118586203,0,5.18427169956315E-06,0,0,0,0,0,0,0.75,3,20230110,2
1,1,0.971861471861472,5.11255411255411,16.5426186250481,2.28679457803783,1,0.994382286095356,0.994382286095356,0.999999999999999,5.11255411255412,2.28675544351225,0.0141514217871837,0.994496648701151,5.21726486301595,0.979929953105485,2.01110366745393,0.05408896659434,0.0696486173747835,4.55992488114681E-06,0.0007654357803093,-0.370774169369835,0.0020864101098229,-0.0001437675617392,0,-0.0003918788512292,0.8,3,20230110,2
1,1,0.997876857749469,3.9723991507431,12.6098748701269,1.82691743809037,1,0.999464646921224,0.999464646921224,1.00000000000019,3.97239915074235,2.14697105477533,1.70701202615811E-13,0.999461632699786,3.9723991507431,1,0.0240387849070736,0.0549746030602688,1.45904297836219E-28,2.58369406868538E-07,9.3842308557147E-15,-1.03299022513726E-15,0,-2.36235848906554E-15,0,0,0.85,3,20230110,2
1,1,0.985355648535565,6.12970711297071,26.1466628071191,1.87707410981519,1,0.997583772980675,0.997583772980675,1,6.1297071129707,1.94121801232634,0,0.997553582746848,6.12970711297071,1,0.0533164019024655,0.0295719981864388,0,7.90623746542975E-07,0,0,0,0,0,0,0.9,3,20230110,2
1,1,0.982869379014989,8.0728051391863,36.6470485520765,2.28073170209901,1,0.997851469619344,0.997851469619344,0.999999999999967,8.07280513918656,2.55110316312953,0,0.997830913363447,8.0728051391863,1,0.0719886254725691,0.0506580441590208,0,5.58281986653602E-07,0,0,0,0,0,0,0.95,3,20230110,2
